Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Alan Virginius,Young Boys,SUI SL,SUI - Super League,Winger,DACH,23,U23,vollständig,31.75,🔵 HIGH,3.0,3.21,829.88,431.76,1261.64,2.96,4.0,🔼 HIGH,156.9,428.46,165.79,594.24,0.37,4.0,✅ YES,61.4,0.59,0.61,1.09,1.93,4.0,-0.07,18.0,0.572,AVERAGE,🔥 ELITE TARGET,,,,,,,,,0.166,WEAK,,,,,,,,,0.774,STRONG,0.506,AVERAGE,0.874,STRONG,0.696,AVERAGE,,,0.479,BELOW,,,0.041,WEAK,0.737,AVERAGE,1356,Komplettflügel
Ismail Harnafi,FSV Frankfurt,RL Südwest,GER - Regionalliga Südwest,Winger,DACH,24,24+,vollständig,31.36,🔵 HIGH,3.0,2.82,756.63,443.27,1199.9,1.48,4.0,🔼 HIGH,83.7,386.8,176.02,562.82,0.53,4.0,✅ YES,19.8,0.56,0.68,1.11,1.8,4.0,-0.1,18.0,0.878,STRONG,🔥 ELITE TARGET,,,,,,,,,0.934,ELITE,,,,,,,,,0.459,BELOW,0.856,STRONG,0.981,ELITE,0.657,AVERAGE,,,0.892,STRONG,,,0.212,WEAK,0.646,AVERAGE,1088,Komplettflügel
Dominique Domröse,Meppen,RL Nord,GER - Regionalliga Nord,Fullback,DACH,24,24+,vollständig,31.43,🔵 HIGH,3.0,2.89,754.85,398.09,1152.94,2.66,4.0,🔼 HIGH,81.9,406.07,151.59,557.66,0.79,4.0,✅ YES,39.0,0.56,0.59,1.0,1.95,4.0,-0.1,18.0,0.925,ELITE,🔥 ELITE TARGET,0.971,ELITE,,,,,0.856,STRONG,0.413,BELOW,0.21,WEAK,0.893,STRONG,,,0.793,STRONG,0.948,ELITE,0.654,AVERAGE,0.91,ELITE,,,,,,,,,,,,,1948,Offensiver AV
Joel Monteiro Almada,Young Boys,SUI SL,SUI - Super League,Winger,DACH,27,24+,vollständig,31.54,🔵 HIGH,3.0,3.0,888.14,442.32,1330.46,2.81,4.0,🔼 HIGH,215.2,444.68,169.9,614.58,1.03,4.0,✅ YES,77.6,0.56,0.61,1.1,1.84,4.0,-0.1,18.0,0.849,STRONG,🔥 ELITE TARGET,,,,,,,,,0.857,STRONG,,,,,,,,,0.585,AVERAGE,0.672,AVERAGE,0.86,STRONG,0.718,AVERAGE,,,0.259,BELOW,,,0.783,STRONG,0.67,AVERAGE,1847,Komplettflügel
Konrad Riehle,Astoria Walldorf,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,24,24+,vollständig,31.23,🔵 HIGH,3.0,2.69,855.65,470.68,1326.33,2.53,4.0,🔼 HIGH,182.7,463.8,223.22,687.02,0.96,4.0,✅ YES,96.8,0.6,0.64,1.24,1.93,4.0,-0.06,18.0,0.626,AVERAGE,🔥 ELITE TARGET,0.838,STRONG,,,,,0.211,WEAK,0.112,WEAK,0.345,BELOW,0.874,STRONG,,,0.304,BELOW,0.856,STRONG,0.537,AVERAGE,0.935,ELITE,,,,,,,,,,,,,917,Flügelläufer
Severin Ottiger,Luzern,SUI SL,SUI - Super League,Fullback,DACH,23,U23,vollständig,31.47,🔵 HIGH,3.0,2.93,718.52,385.24,1103.75,2.18,4.0,🔼 HIGH,45.6,443.98,237.79,681.76,1.88,4.0,✅ YES,76.9,0.65,0.65,1.24,1.97,4.0,-0.01,18.0,0.438,BELOW,🟡 WATCHLIST,0.198,WEAK,,,,,0.487,BELOW,0.559,AVERAGE,0.332,BELOW,0.201,WEAK,,,0.564,AVERAGE,0.769,STRONG,0.5,AVERAGE,0.587,AVERAGE,,,,,,,,,,,,,754,Allrounder
Sékou Fofana,Lausanne Sport,SUI SL,SUI - Super League,Fullback,DACH,23,U23,vollständig,31.64,🔵 HIGH,3.0,3.1,702.88,380.25,1083.14,3.02,4.0,🔼 HIGH,29.9,406.78,179.64,586.42,1.32,4.0,✅ YES,39.7,0.59,0.64,1.1,1.86,4.0,-0.07,18.0,0.667,AVERAGE,🔥 ELITE TARGET,0.071,WEAK,,,,,0.403,BELOW,0.788,STRONG,0.94,ELITE,0.531,AVERAGE,,,0.379,BELOW,0.699,AVERAGE,0.875,STRONG,0.491,BELOW,,,,,,,,,,,,,1440,Aufbauspieler
Jonathan Akaegbobi,Bochum II,RL West,GER - Regionalliga West,Winger,DACH,20,U21,vollständig,31.24,🔵 HIGH,3.0,2.7,779.21,365.79,1145.0,1.05,4.0,🔼 HIGH,106.3,403.86,155.33,559.19,0.76,4.0,✅ YES,36.8,0.54,0.64,1.19,1.93,4.0,-0.12,18.0,0.179,WEAK,🟡 WATCHLIST,,,,,,,,,0.127,WEAK,,,,,,,,,0.817,STRONG,0.196,WEAK,0.519,AVERAGE,0.38,BELOW,,,0.117,WEAK,,,0.431,BELOW,0.105,WEAK,1061,Allrounder
Julius Langfeld,Gütersloh,RL West,GER - Regionalliga West,Winger,DACH,31,24+,vollständig,31.05,🔵 HIGH,3.0,2.51,896.25,485.43,1381.68,2.84,4.0,🔼 HIGH,223.3,474.07,206.02,680.09,0.72,4.0,✅ YES,107.0,0.56,0.57,1.16,1.79,4.0,-0.1,18.0,0.855,STRONG,🔥 ELITE TARGET,,,,,,,,,0.746,AVERAGE,,,,,,,,,0.551,AVERAGE,0.454,BELOW,0.82,STRONG,0.878,STRONG,,,0.632,AVERAGE,,,0.788,STRONG,0.564,AVERAGE,1225,Tiefenläufer + Box
Ramiz Harakate,Grazer AK,AUT BL,AUT - Bundesliga,Striker,DACH,24,24+,vollständig,31.43,🔵 HIGH,3.0,2.89,993.24,559.05,1552.3,3.52,4.0,🔼 HIGH,320.3,511.62,219.48,731.1,1.3,4.0,✅ YES,144.6,0.56,0.63,1.09,1.72,4.0,-0.1,18.0,0.674,AVERAGE,🔥 ELITE TARGET,,,,,0.137,WEAK,,,0.464,BELOW,,,,,,,,,0.811,STRONG,,,0.661,AVERAGE,,,0.597,AVERAGE,0.751,STRONG,0.641,AVERAGE,0.463,BELOW,,,1841,Abschlussspieler
