Spieler,Verein,Liga,Competition,Position,Markt,Alter,Altersband,Datenquelle,PSV-99,Speed Flag,Speed Score,Δ PSV-99,HSR Distance P60BIP,Sprint Distance P60BIP,HI Distance BIP P60BIP,Explosive Acceleration to Sprint Count P60BIP,BIP Score,BIP Level,Δ HSR BIP,HSR Distance OTIP P30OTIP,Sprint Distance OTIP P30OTIP,HI Distance OTIP P30OTIP,Explosive Acceleration to Sprint Count OTIP P30OTIP,OTIP Score,OTIP Pass,Δ HSR OTIP,TOP 3 Time to HSR,TOP 3 Time to HSR post-COD,TOP 3 Time to Sprint,TOP 3 Time to 505 around 90,Burst Score,Δ T→HSR,Physical Score,IFI Percentile,IFI Label,Final Tier,Pct_Territorial dominance,Lbl_Territorial dominance,Pct_Composure,Lbl_Composure,Pct_Aerial threat,Lbl_Aerial threat,Pct_Intelligent defence,Lbl_Intelligent defence,Pct_Involvement,Lbl_Involvement,Pct_Progression,Lbl_Progression,Pct_Chance prevention,Lbl_Chance prevention,Pct_Defensive heading,Lbl_Defensive heading,Pct_Active defence,Lbl_Active defence,Pct_Providing teammates,Lbl_Providing teammates,Pct_Passing quality,Lbl_Passing quality,Pct_Run quality,Lbl_Run quality,Pct_Box threat,Lbl_Box threat,Pct_Poaching,Lbl_Poaching,Pct_Finishing,Lbl_Finishing,Pct_Hold-up play,Lbl_Hold-up play,Pct_Pressing,Lbl_Pressing,Pct_Dribbling,Lbl_Dribbling,Minuten,Spielertyp
Léo Seydoux,Neuchâtel Xamax,SUI CL,SUI - Challenge League,Fullback,DACH,28,24+,vollständig,30.13,🟠 MEDIUM,1.0,1.59,840.19,368.67,1208.86,1.98,4.0,🔼 HIGH,167.2,418.12,150.15,568.27,0.73,4.0,✅ YES,51.1,0.59,0.61,1.17,1.9,4.0,-0.07,14.0,0.915,ELITE,🟢 TOP TARGET,0.602,AVERAGE,,,,,0.645,AVERAGE,0.928,ELITE,0.885,STRONG,0.727,AVERAGE,,,0.712,AVERAGE,0.599,AVERAGE,0.803,STRONG,0.667,AVERAGE,,,,,,,,,,,,,2069,Offensiver AV
Bendegúz Bolla,Rapid Wien,AUT BL,AUT - Bundesliga,Fullback,DACH,27,24+,vollständig,29.26,🟠 MEDIUM,1.0,0.72,719.17,255.92,975.09,1.53,4.0,🔼 HIGH,46.2,379.5,123.12,502.63,0.58,4.0,✅ YES,12.4,0.63,0.64,1.22,1.95,4.0,-0.03,14.0,0.703,AVERAGE,🟢 TOP TARGET,0.572,AVERAGE,,,,,0.136,WEAK,0.615,AVERAGE,0.967,ELITE,0.521,AVERAGE,,,0.115,WEAK,0.78,STRONG,0.978,ELITE,0.669,AVERAGE,,,,,,,,,,,,,2291,Offensiver AV
Tino Bradara,SGV Freiberg,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,29,24+,vollständig,28.91,🟠 MEDIUM,1.0,0.37,739.76,250.79,990.54,1.12,4.0,🔼 HIGH,66.8,438.48,140.11,578.59,0.93,4.0,✅ YES,71.4,0.66,0.68,1.32,1.88,4.0,0.0,14.0,0.733,AVERAGE,🟢 TOP TARGET,0.76,STRONG,,,,,0.853,STRONG,0.839,STRONG,0.527,AVERAGE,0.441,BELOW,,,0.849,STRONG,0.451,BELOW,0.543,AVERAGE,0.257,BELOW,,,,,,,,,,,,,1414,Defensiver AV
Leon Sommer,Havelse,3.Liga DE,GER - 3. Liga,Fullback,DACH,25,24+,vollständig,29.46,🟠 MEDIUM,1.0,0.92,900.4,299.16,1199.56,1.59,4.0,🔼 HIGH,227.4,448.73,142.89,591.62,0.92,4.0,✅ YES,81.7,0.59,0.59,1.27,1.87,4.0,-0.07,14.0,0.227,WEAK,🟡 WATCHLIST,0.368,BELOW,,,,,0.237,WEAK,0.174,WEAK,0.256,BELOW,0.458,BELOW,,,0.344,BELOW,0.559,AVERAGE,0.222,WEAK,0.723,AVERAGE,,,,,,,,,,,,,2097,Flügelläufer
Numa Lavanchy,Sion,SUI SL,SUI - Super League,Fullback,DACH,33,24+,vollständig,29.76,🟠 MEDIUM,1.0,1.22,790.02,321.8,1111.82,2.87,4.0,🔼 HIGH,117.1,462.39,139.79,602.18,1.06,4.0,✅ YES,95.3,0.57,0.57,1.14,1.82,4.0,-0.09,14.0,0.616,AVERAGE,🟢 TOP TARGET,0.325,BELOW,,,,,0.566,AVERAGE,0.69,AVERAGE,0.744,AVERAGE,0.308,BELOW,,,0.618,AVERAGE,0.628,AVERAGE,0.705,AVERAGE,0.374,BELOW,,,,,,,,,,,,,3216,Aufbauspieler
Angelo Campos Oliveira,Vaduz,SUI CL,SUI - Challenge League,Striker,DACH,26,24+,vollständig,29.9,🟠 MEDIUM,1.0,1.36,841.77,371.71,1213.48,1.78,4.0,🔼 HIGH,168.8,418.25,146.7,564.94,0.38,4.0,✅ YES,51.2,0.64,0.69,1.23,1.92,4.0,-0.02,14.0,0.338,BELOW,🟡 WATCHLIST,,,,,0.195,WEAK,,,0.571,AVERAGE,,,,,,,,,0.745,AVERAGE,,,0.908,ELITE,,,0.312,BELOW,0.207,WEAK,0.236,WEAK,0.413,BELOW,,,907,Allrounder
Maurice Osei Boakye,Hamburger SV II,RL Nord,GER - Regionalliga Nord,Striker,DACH,22,U23,vollständig,30.14,🟠 MEDIUM,1.0,1.6,787.67,334.65,1122.32,2.25,4.0,🔼 HIGH,114.7,426.49,152.63,579.12,1.18,4.0,✅ YES,59.4,0.62,0.66,1.1,1.71,4.0,-0.04,14.0,0.375,BELOW,🟡 WATCHLIST,,,,,0.386,BELOW,,,0.146,WEAK,,,,,,,,,0.592,AVERAGE,,,0.806,STRONG,,,0.335,BELOW,0.859,STRONG,0.421,BELOW,0.153,WEAK,,,1620,Abschlussspieler
Jacob Italiano,Grazer AK,AUT BL,AUT - Bundesliga,Fullback,DACH,25,24+,vollständig,30.39,🟠 MEDIUM,1.0,1.85,886.38,344.42,1230.8,2.58,4.0,🔼 HIGH,213.4,452.52,145.35,597.87,1.1,4.0,✅ YES,85.5,0.59,0.61,1.16,1.87,4.0,-0.07,14.0,0.341,BELOW,🟡 WATCHLIST,0.494,BELOW,,,,,0.075,WEAK,0.235,WEAK,0.564,AVERAGE,0.807,STRONG,,,0.09,WEAK,0.294,BELOW,0.404,BELOW,0.904,ELITE,,,,,,,,,,,,,1953,Flügelläufer
Timo Bornemann,Fortuna Köln,RL West,GER - Regionalliga West,Striker,DACH,26,24+,vollständig,29.19,🟠 MEDIUM,1.0,0.65,720.14,239.77,959.91,0.68,4.0,🔼 HIGH,47.2,419.09,143.75,562.84,0.45,4.0,✅ YES,52.0,0.64,0.66,1.28,1.95,4.0,-0.02,14.0,0.594,AVERAGE,🟢 TOP TARGET,,,,,0.144,WEAK,,,0.037,WEAK,,,,,,,,,0.679,AVERAGE,,,0.417,BELOW,,,0.859,STRONG,0.998,ELITE,0.779,STRONG,0.352,BELOW,,,768,Vollstürmer
Nikolas Agrafiotis,Wehen Wiesbaden,3.Liga DE,GER - 3. Liga,Striker,DACH,26,24+,vollständig,29.25,🟠 MEDIUM,1.0,0.71,746.2,262.88,1009.07,1.09,4.0,🔼 HIGH,73.2,388.08,135.82,523.89,0.49,4.0,✅ YES,21.0,0.65,0.65,1.35,1.89,4.0,-0.01,14.0,0.943,ELITE,🟢 TOP TARGET,,,,,0.906,ELITE,,,0.604,AVERAGE,,,,,,,,,0.675,AVERAGE,,,0.57,AVERAGE,,,0.535,AVERAGE,0.526,AVERAGE,0.951,ELITE,0.892,STRONG,,,1270,Kopfballstürmer
Michael Olise,Bayern München,BL DE,GER - Bundesliga,Winger,DACH,25,24+,vollständig,30.19,🟠 MEDIUM,1.0,1.65,787.68,343.07,1130.74,2.14,4.0,🔼 HIGH,114.7,480.07,183.72,663.79,0.81,4.0,✅ YES,113.0,0.6,0.64,1.17,1.79,4.0,-0.06,14.0,0.998,ELITE,🟢 TOP TARGET,,,,,,,,,0.998,ELITE,,,,,,,,,0.995,ELITE,0.996,ELITE,0.963,ELITE,0.901,ELITE,,,0.856,STRONG,,,0.78,STRONG,0.933,ELITE,2339,Komplettflügel
Leon Bell Bell,Eintracht Braunschweig,GER - 2nd Bundesliga,GER - 2nd Bundesliga,Fullback,DACH,30,24+,vollständig,30.13,🟠 MEDIUM,1.0,1.59,817.84,361.25,1179.09,2.54,4.0,🔼 HIGH,144.9,426.76,172.75,599.51,1.15,4.0,✅ YES,59.7,0.63,0.65,1.19,1.95,4.0,-0.03,14.0,0.373,BELOW,🟡 WATCHLIST,0.938,ELITE,,,,,0.116,WEAK,0.088,WEAK,0.264,BELOW,0.799,STRONG,,,0.092,WEAK,0.557,AVERAGE,0.393,BELOW,0.732,AVERAGE,,,,,,,,,,,,,1387,Flügelläufer
Kristjan Bendra,Sturm Graz II,AUT 2.L,AUT - 2. Liga,Fullback,DACH,20,U21,vollständig,29.3,🟠 MEDIUM,1.0,0.76,818.92,268.06,1086.97,1.42,4.0,🔼 HIGH,146.0,424.63,117.56,542.19,0.66,4.0,✅ YES,57.6,0.55,0.6,1.11,1.94,4.0,-0.11,14.0,0.742,AVERAGE,🟢 TOP TARGET,0.804,STRONG,,,,,0.591,AVERAGE,0.608,AVERAGE,0.767,STRONG,0.85,STRONG,,,0.67,AVERAGE,0.088,WEAK,0.613,AVERAGE,0.548,AVERAGE,,,,,,,,,,,,,999,Aufbauspieler
Erik Viktor Bergh,Hansa Rostock,3.Liga DE,GER - 3. Liga,Fullback,DACH,27,24+,vollständig,30.17,🟠 MEDIUM,1.0,1.63,816.78,336.61,1153.39,2.27,4.0,🔼 HIGH,143.8,463.04,157.9,620.94,1.22,4.0,✅ YES,96.0,0.58,0.63,1.1,1.91,4.0,-0.08,14.0,0.888,STRONG,🟢 TOP TARGET,0.839,STRONG,,,,,0.815,STRONG,0.553,AVERAGE,0.839,STRONG,0.617,AVERAGE,,,0.751,STRONG,0.685,AVERAGE,0.819,STRONG,0.462,BELOW,,,,,,,,,,,,,2812,Aufbauspieler
Theo Bergvall,Lausanne Sport,SUI SL,SUI - Super League,Fullback,DACH,22,U23,vollständig,29.46,🟠 MEDIUM,1.0,0.92,745.37,220.86,966.23,1.91,4.0,🔼 HIGH,72.4,431.08,120.45,551.53,1.19,4.0,✅ YES,64.0,0.63,0.7,1.21,1.85,4.0,-0.03,14.0,0.897,STRONG,🟢 TOP TARGET,0.346,BELOW,,,,,0.884,STRONG,0.991,ELITE,0.831,STRONG,0.63,AVERAGE,,,0.915,ELITE,0.385,BELOW,0.843,STRONG,0.611,AVERAGE,,,,,,,,,,,,,595,Offensiver AV
Benjamin Rosenberger,First Vienna,AUT 2.L,AUT - 2. Liga,Fullback,DACH,30,24+,vollständig,30.2,🟠 MEDIUM,1.0,1.66,695.18,311.19,1006.36,1.38,4.0,🔼 HIGH,22.2,381.71,129.16,510.87,0.57,4.0,✅ YES,14.7,0.6,0.6,1.29,1.9,4.0,-0.06,14.0,0.694,AVERAGE,🟢 TOP TARGET,0.451,BELOW,,,,,0.224,WEAK,0.481,BELOW,0.924,ELITE,0.828,STRONG,,,0.241,WEAK,0.846,STRONG,0.867,STRONG,0.436,BELOW,,,,,,,,,,,,,2084,Aufbauspieler
Linus Rosenlöcher,Ingolstadt,3.Liga DE,GER - 3. Liga,Fullback,DACH,26,24+,vollständig,29.67,🟠 MEDIUM,1.0,1.13,738.42,251.78,990.2,1.06,4.0,🔼 HIGH,65.5,407.57,116.71,524.28,0.62,4.0,✅ YES,40.5,0.65,0.65,1.29,1.93,4.0,-0.01,14.0,0.392,BELOW,🟡 WATCHLIST,0.438,BELOW,,,,,0.665,AVERAGE,0.638,AVERAGE,0.508,AVERAGE,0.161,WEAK,,,0.557,AVERAGE,0.347,BELOW,0.414,BELOW,0.313,BELOW,,,,,,,,,,,,,1870,Defensiver AV
Maximilian Roth,Darmstadt 98 U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,30.45,🟠 MEDIUM,1.0,1.91,762.54,401.17,1163.71,2.17,4.0,🔼 HIGH,89.6,450.1,133.93,584.04,0.81,4.0,✅ YES,83.1,0.62,0.7,1.15,1.97,4.0,-0.04,14.0,0.884,STRONG,🟢 TOP TARGET,0.87,STRONG,,,,,0.119,WEAK,0.239,WEAK,0.87,STRONG,0.944,ELITE,,,0.501,AVERAGE,0.996,ELITE,0.862,STRONG,0.95,ELITE,,,,,,,,,,,,,265,Offensiver AV
Josef  Haßfeld,Eintracht Frankfurt U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,28.66,🟠 MEDIUM,1.0,0.12,852.53,312.91,1165.44,1.06,4.0,🔼 HIGH,179.6,477.12,154.29,631.4,0.49,4.0,✅ YES,110.1,0.61,0.72,1.17,1.87,4.0,-0.05,14.0,0.984,ELITE,🟢 TOP TARGET,,,,,0.357,BELOW,,,0.911,ELITE,,,,,,,,,0.772,STRONG,,,0.715,AVERAGE,,,0.742,AVERAGE,0.982,ELITE,0.765,STRONG,0.968,ELITE,,,1062,Vollstürmer
Dženan Pejčinović,Wolfsburg,BL DE,GER - Bundesliga,Striker,DACH,21,U21,vollständig,29.85,🟠 MEDIUM,1.0,1.31,869.02,381.53,1250.55,2.29,4.0,🔼 HIGH,196.1,471.12,200.24,671.37,1.34,4.0,✅ YES,104.1,0.64,0.67,1.19,1.94,4.0,-0.02,14.0,0.389,BELOW,🟡 WATCHLIST,,,,,0.617,AVERAGE,,,0.388,BELOW,,,,,,,,,0.116,WEAK,,,0.282,BELOW,,,0.782,STRONG,0.822,STRONG,0.53,AVERAGE,0.192,WEAK,,,1090,Vollstürmer
Benjamin Friesen,Wiedenbrück,RL West,GER - Regionalliga West,Winger,DACH,23,U23,vollständig,29.23,🟠 MEDIUM,1.0,0.69,918.91,293.58,1212.5,1.58,4.0,🔼 HIGH,246.0,455.48,119.46,574.93,0.72,4.0,✅ YES,88.4,0.54,0.57,1.21,1.84,4.0,-0.12,14.0,0.721,AVERAGE,🟢 TOP TARGET,,,,,,,,,0.666,AVERAGE,,,,,,,,,0.841,STRONG,0.48,BELOW,0.833,STRONG,0.625,AVERAGE,,,0.06,WEAK,,,0.324,BELOW,0.976,ELITE,1553,Komplettflügel
Loic O'Bryant,1860 München U17,U17 BL,GER - U17 Bundesliga,Winger,DACH,17,U21,vollständig,30.67,🟡 FAST,2.0,2.13,970.64,358.37,1329.01,1.76,4.0,🔼 HIGH,297.7,499.82,143.21,643.03,0.47,4.0,✅ YES,132.8,0.85,,1.64,2.14,0.0,0.19,14.0,0.463,BELOW,🟡 WATCHLIST,,,,,,,,,0.258,BELOW,,,,,,,,,0.065,WEAK,0.251,BELOW,0.826,STRONG,0.943,ELITE,,,0.823,STRONG,,,0.276,BELOW,0.461,BELOW,388,Tiefenläufer + Box
Christopher Negele,Unterhaching,RL Bayern,GER - Regionalliga Bayern,Winger,DACH,21,U21,vollständig,29.88,🟠 MEDIUM,1.0,1.34,807.3,285.37,1092.67,2.05,4.0,🔼 HIGH,134.3,439.4,135.24,574.64,0.44,4.0,✅ YES,72.3,0.6,0.66,1.21,1.9,4.0,-0.06,14.0,0.587,AVERAGE,🟢 TOP TARGET,,,,,,,,,0.395,BELOW,,,,,,,,,0.685,AVERAGE,0.316,BELOW,0.799,STRONG,0.744,AVERAGE,,,0.327,BELOW,,,0.9,ELITE,0.159,WEAK,772,Tiefenläufer + Box
Leon Sawas,Freiburg U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,19,U21,vollständig,29.5,🟠 MEDIUM,1.0,0.96,924.96,330.45,1255.41,1.24,4.0,🔼 HIGH,252.0,527.17,174.15,701.32,0.71,4.0,✅ YES,160.1,0.62,0.67,1.29,1.88,4.0,-0.04,14.0,0.377,BELOW,🟡 WATCHLIST,0.52,AVERAGE,,,,,0.553,AVERAGE,0.275,BELOW,0.378,BELOW,0.161,WEAK,,,0.603,AVERAGE,0.441,BELOW,0.373,BELOW,0.682,AVERAGE,,,,,,,,,,,,,986,Flügelläufer
Eaden Roka,Rapid Wien II,AUT 2.L,AUT - 2. Liga,Fullback,DACH,19,U21,vollständig,29.71,🟠 MEDIUM,1.0,1.17,812.84,313.38,1126.23,2.26,4.0,🔼 HIGH,139.9,424.4,165.99,590.38,1.28,4.0,✅ YES,57.3,0.55,0.58,1.1,1.89,4.0,-0.11,14.0,0.335,BELOW,🟡 WATCHLIST,0.257,BELOW,,,,,0.333,BELOW,0.43,BELOW,0.38,BELOW,0.489,BELOW,,,0.33,BELOW,0.521,AVERAGE,0.265,BELOW,0.851,STRONG,,,,,,,,,,,,,1485,Flügelläufer
Yohan Ngatcheu,RB Leipzig U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,18,U21,vollständig,29.12,🟠 MEDIUM,1.0,0.58,833.36,354.27,1187.63,1.52,4.0,🔼 HIGH,160.4,470.9,171.42,642.32,1.23,4.0,✅ YES,103.8,0.59,0.63,1.21,1.92,4.0,-0.07,14.0,0.675,AVERAGE,🟢 TOP TARGET,,,,,,,,,0.557,AVERAGE,,,,,,,,,0.846,STRONG,0.469,BELOW,0.557,AVERAGE,0.461,BELOW,,,0.383,BELOW,,,0.845,STRONG,0.528,AVERAGE,1140,Allrounder
Elmin Rastoder,Thun,SUI SL,SUI - Super League,Striker,DACH,25,24+,vollständig,30.14,🟠 MEDIUM,1.0,1.6,912.74,408.3,1321.04,3.02,4.0,🔼 HIGH,239.8,388.02,133.75,521.77,0.93,4.0,✅ YES,21.0,0.57,0.6,1.08,1.82,4.0,-0.09,14.0,0.958,ELITE,🟢 TOP TARGET,,,,,0.725,AVERAGE,,,0.775,STRONG,,,,,,,,,0.921,ELITE,,,0.98,ELITE,,,0.308,BELOW,0.946,ELITE,0.647,AVERAGE,0.473,BELOW,,,2402,Zielspieler
Mats Facklam,VfB Oldenburg,RL Nord,GER - Regionalliga Nord,Striker,DACH,30,24+,vollständig,30.0,🟠 MEDIUM,1.0,1.46,793.57,316.43,1110.0,2.05,4.0,🔼 HIGH,120.6,447.05,153.44,600.49,0.58,4.0,✅ YES,80.0,0.53,0.56,1.04,1.79,4.0,-0.13,14.0,0.829,STRONG,🟢 TOP TARGET,,,,,0.919,ELITE,,,0.204,WEAK,,,,,,,,,0.335,BELOW,,,0.608,AVERAGE,,,0.931,ELITE,0.647,AVERAGE,0.945,ELITE,0.382,BELOW,,,1735,Vollstürmer
Osman Mohamed Turay,Bayer Leverkusen U19,U19 BL,GER - U19 Bundesliga,Fullback,DACH,18,U21,vollständig,30.77,🟡 FAST,2.0,2.23,650.56,370.35,1020.92,1.45,3.0,🔼 HIGH,-22.4,424.62,202.69,627.31,1.15,4.0,✅ YES,57.6,0.64,,1.29,2.0,2.0,-0.02,14.0,0.229,WEAK,🟡 WATCHLIST,0.535,AVERAGE,,,,,0.506,AVERAGE,0.242,WEAK,0.07,WEAK,0.493,BELOW,,,0.267,BELOW,0.458,BELOW,0.087,WEAK,0.703,AVERAGE,,,,,,,,,,,,,1429,Flügelläufer
Ken Tchouangue,Bremer SV,RL Nord,GER - Regionalliga Nord,Fullback,DACH,22,U23,vollständig,29.62,🟠 MEDIUM,1.0,1.08,779.3,279.5,1058.81,1.67,4.0,🔼 HIGH,106.3,391.88,131.84,523.72,0.91,4.0,✅ YES,24.8,0.63,0.65,1.14,1.9,4.0,-0.03,14.0,0.236,WEAK,🟡 WATCHLIST,0.31,BELOW,,,,,0.129,WEAK,0.113,WEAK,0.254,BELOW,0.713,AVERAGE,,,0.087,WEAK,0.702,AVERAGE,0.215,WEAK,0.892,STRONG,,,,,,,,,,,,,1247,Flügelläufer
Jason Ponente Ramirez,Köln U19,U19 BL,GER - U19 Bundesliga,Winger,DACH,19,U21,vollständig,31.57,🔵 HIGH,3.0,3.03,576.63,390.6,967.24,2.14,3.0,🔼 HIGH,-96.3,214.28,127.0,341.28,0.69,2.0,✅ YES,-152.8,0.55,0.57,1.19,1.96,4.0,-0.11,14.0,0.966,ELITE,🟢 TOP TARGET,,,,,,,,,0.735,AVERAGE,,,,,,,,,0.804,STRONG,0.678,AVERAGE,0.971,ELITE,0.785,STRONG,,,0.897,STRONG,,,0.66,AVERAGE,0.958,ELITE,1232,Komplettflügel
Fabio Moreno Fell,Mainz 05 II,RL Südwest,GER - Regionalliga Südwest,Striker,DACH,26,24+,vollständig,29.16,🟠 MEDIUM,1.0,0.62,767.86,269.32,1037.18,1.63,4.0,🔼 HIGH,94.9,379.53,125.85,505.37,0.63,4.0,✅ YES,12.5,0.6,0.65,1.32,1.86,4.0,-0.06,14.0,0.71,AVERAGE,🟢 TOP TARGET,,,,,0.514,AVERAGE,,,0.333,BELOW,,,,,,,,,0.15,WEAK,,,0.645,AVERAGE,,,0.932,ELITE,0.906,ELITE,0.741,AVERAGE,0.404,BELOW,,,1232,Vollstürmer
Hugo Vandermersch,St. Gallen,SUI SL,SUI - Super League,Fullback,DACH,27,24+,vollständig,29.26,🟠 MEDIUM,1.0,0.72,1059.35,363.26,1422.62,2.56,4.0,🔼 HIGH,386.4,569.87,178.14,748.01,1.26,4.0,✅ YES,202.8,0.61,0.66,1.16,1.95,4.0,-0.05,14.0,0.525,AVERAGE,🟢 TOP TARGET,0.621,AVERAGE,,,,,0.185,WEAK,0.322,BELOW,0.718,AVERAGE,0.66,AVERAGE,,,0.083,WEAK,0.602,AVERAGE,0.704,AVERAGE,0.668,AVERAGE,,,,,,,,,,,,,2668,Offensiver AV
Petr Vlasov,Eintracht Braunschweig U17,U17 BL,GER - U17 Bundesliga,Fullback,DACH,17,U21,vollständig,29.28,🟠 MEDIUM,1.0,0.74,865.13,280.95,1146.08,0.92,4.0,🔼 HIGH,192.2,518.6,190.98,709.59,0.7,4.0,✅ YES,151.6,0.63,0.66,1.19,1.96,4.0,-0.03,14.0,0.284,BELOW,🟡 WATCHLIST,0.093,WEAK,,,,,0.663,AVERAGE,0.368,BELOW,0.446,BELOW,0.061,WEAK,,,0.624,AVERAGE,0.587,AVERAGE,0.391,BELOW,0.457,BELOW,,,,,,,,,,,,,1606,Defensiver AV
Neil Volken,Zürich,SUI SL,SUI - Super League,Fullback,DACH,19,U21,vollständig,30.58,🟡 FAST,2.0,2.04,779.84,345.35,1125.2,2.45,4.0,🔼 HIGH,106.9,460.54,250.13,710.67,2.05,4.0,✅ YES,93.5,0.73,0.74,1.47,2.05,0.0,0.07,14.0,0.007,WEAK,🟡 WATCHLIST,0.066,WEAK,,,,,0.018,WEAK,0.172,WEAK,0.245,WEAK,0.072,WEAK,,,0.111,WEAK,0.032,WEAK,0.167,WEAK,0.063,WEAK,,,,,,,,,,,,,339,Allrounder
Phil Kemper,FSV Frankfurt,RL Südwest,GER - Regionalliga Südwest,Fullback,DACH,24,24+,vollständig,28.72,🟠 MEDIUM,1.0,0.18,691.24,230.14,921.37,1.71,4.0,🔼 HIGH,18.3,403.44,104.94,508.38,0.86,4.0,✅ YES,36.4,0.52,0.61,1.29,1.92,4.0,-0.14,14.0,0.449,BELOW,🟡 WATCHLIST,0.252,BELOW,,,,,0.278,BELOW,0.469,BELOW,0.657,AVERAGE,0.345,BELOW,,,0.466,BELOW,0.744,AVERAGE,0.661,AVERAGE,0.381,BELOW,,,,,,,,,,,,,2226,Aufbauspieler
Tim Lemperle,Hoffenheim,BL DE,GER - Bundesliga,Striker,DACH,24,24+,vollständig,29.98,🟠 MEDIUM,1.0,1.44,875.8,378.43,1254.23,2.43,4.0,🔼 HIGH,202.8,437.61,177.01,614.62,0.68,4.0,✅ YES,70.6,0.6,0.61,1.18,1.81,4.0,-0.06,14.0,0.746,AVERAGE,🟢 TOP TARGET,,,,,0.564,AVERAGE,,,0.538,AVERAGE,,,,,,,,,0.399,BELOW,,,0.654,AVERAGE,,,0.459,BELOW,0.619,AVERAGE,0.594,AVERAGE,0.88,STRONG,,,1412,Abschlussspieler
Dimitrios Giannoulis,Augsburg,BL DE,GER - Bundesliga,Fullback,DACH,31,24+,vollständig,31.13,🔵 HIGH,3.0,2.59,658.91,339.88,998.79,3.22,3.0,🔼 HIGH,-14.0,299.11,117.84,416.95,1.21,2.0,✅ YES,-67.9,0.57,0.61,1.09,1.88,4.0,-0.09,14.0,0.653,AVERAGE,🟢 TOP TARGET,0.196,WEAK,,,,,0.269,BELOW,0.394,BELOW,0.818,STRONG,0.609,AVERAGE,,,0.112,WEAK,0.878,STRONG,0.943,ELITE,0.887,STRONG,,,,,,,,,,,,,1953,Offensiver AV
Samuel Owusu Addai,Sportfreunde Lotte,RL West,GER - Regionalliga West,Winger,DACH,24,24+,vollständig,29.18,🟠 MEDIUM,1.0,0.64,786.58,292.76,1079.34,1.19,4.0,🔼 HIGH,113.6,399.32,143.11,542.43,0.53,4.0,✅ YES,32.3,0.58,0.7,1.26,1.96,4.0,-0.08,14.0,0.825,STRONG,🟢 TOP TARGET,,,,,,,,,0.657,AVERAGE,,,,,,,,,0.521,AVERAGE,0.781,STRONG,0.808,STRONG,0.724,AVERAGE,,,0.615,AVERAGE,,,0.51,AVERAGE,0.658,AVERAGE,780,Komplettflügel
Yannik Wagner,Heidenheim U19,U19 BL,GER - U19 Bundesliga,Striker,DACH,19,U21,vollständig,30.52,🟡 FAST,2.0,1.98,696.55,303.86,1000.41,1.79,4.0,🔼 HIGH,23.6,353.38,137.73,491.11,0.56,3.0,✅ YES,-13.7,0.61,0.63,1.28,2.03,3.0,-0.05,14.0,0.321,BELOW,🟡 WATCHLIST,,,,,0.249,WEAK,,,0.212,WEAK,,,,,,,,,0.718,AVERAGE,,,0.911,ELITE,,,0.4,BELOW,0.7,AVERAGE,0.186,WEAK,0.18,WEAK,,,449,Abschlussspieler
Alieu Conateh,Amstetten,AUT 2.L,AUT - 2. Liga,Winger,DACH,20,U21,vollständig,30.52,🟡 FAST,2.0,1.98,1175.59,658.72,1834.3,2.32,4.0,🔼 HIGH,502.6,537.75,306.44,844.19,0.42,4.0,✅ YES,170.7,0.73,0.77,1.42,2.18,0.0,0.07,14.0,0.797,STRONG,🟢 TOP TARGET,,,,,,,,,0.517,AVERAGE,,,,,,,,,0.568,AVERAGE,0.463,BELOW,0.933,ELITE,0.787,STRONG,,,0.546,AVERAGE,,,0.49,BELOW,0.846,STRONG,904,Komplettflügel
Enzo Wirtz,Fortuna Köln,RL West,GER - Regionalliga West,Striker,DACH,31,24+,vollständig,29.12,🟠 MEDIUM,1.0,0.58,896.83,299.86,1196.68,1.65,4.0,🔼 HIGH,223.9,530.62,161.79,692.41,0.43,4.0,✅ YES,163.6,0.56,0.6,1.3,1.73,4.0,-0.1,14.0,0.677,AVERAGE,🟢 TOP TARGET,,,,,0.943,ELITE,,,0.371,BELOW,,,,,,,,,0.578,AVERAGE,,,0.443,BELOW,,,0.406,BELOW,0.24,WEAK,0.875,STRONG,0.673,AVERAGE,,,1958,Kopfballstürmer
Manuel Abbey,RB Leipzig U17,U17 BL,GER - U17 Bundesliga,Striker,DACH,17,U21,vollständig,29.33,🟠 MEDIUM,1.0,0.79,788.22,274.07,1062.29,1.12,4.0,🔼 HIGH,115.3,524.05,158.94,683.0,0.65,4.0,✅ YES,157.0,0.56,0.56,1.2,1.85,4.0,-0.1,14.0,0.939,ELITE,🟢 TOP TARGET,,,,,0.64,AVERAGE,,,0.975,ELITE,,,,,,,,,0.849,STRONG,,,0.805,STRONG,,,0.266,BELOW,0.351,BELOW,0.764,STRONG,0.989,ELITE,,,1007,Kopfballstürmer
