name,Team,team,liga,PrimaryPos,ifi_min,Layer_speed,Layer_burst,Layer_otip,Layer_bip,physical score,sc_profile,OBV_Total Impact,OBV_Impact per 90,OBV_Shooting,OBV_Final Ball,OBV_Pen Area,OBV_Carries,OBV_Buildup Pass,OBV_Defense,position,pct_ballprogression,pct_build_up,pct_vertikalitaet,pct_ballsicherheit,pct_proaktives_verteidigen,pct_reaktives_verteidigen,pct_kopfball_defensiv,pct_kopfball_offensiv,pct_clean_defending,pct_buildup,pct_flankenspiel,pct_kreativitaet,pct_zweikampfdef,pct_offensives1v1,pct_ballgewinnen,pct_dribbling,pct_torgefahr,pct_pressing,pct_vorlagengeber,pct_reaktivesverteidigen,pct_poaching,pct_abschlussprofil,pct_zielspieler,pct_balltreiben,name_norm,team_norm,Fit_Kompletter IV,Fit_Spielaufbauender IV,Fit_Absichernder IV,Fit_Physischer IV,Fit_Einfacher/Direkter IV,Index_Kompletter IV,Index_Spielaufbauender IV,Index_Absichernder IV,Index_Physischer IV,Index_Einfacher/Direkter IV,Fit_Einfacher AV,Fit_Spielaufbauender AV,Fit_Defensiver AV,Fit_Kompletter AV,Fit_Dribbelstarker AV,Index_Einfacher AV,Index_Spielaufbauender AV,Index_Defensiver AV,Index_Kompletter AV,Index_Dribbelstarker AV,Fit_Dribbelspezialist,Fit_Einfacher Flügelspieler,Fit_Kompletter Flügelspieler,Fit_Kreativer Flügelspieler,Fit_Pressing-Flügelspieler,Index_Dribbelspezialist,Index_Einfacher Flügelspieler,Index_Kompletter Flügelspieler,Index_Kreativer Flügelspieler,Index_Pressing-Flügelspieler,Fit_Ballgewinnender 6er,Fit_Kreativer 8er/10er,Fit_Unauffälliger 8er,Fit_Torgefährlicher 10er,Fit_Einfacher Mittelfeldspieler,Fit_Spielaufbauender 6er,Index_Ballgewinnender 6er,Index_Kreativer 8er/10er,Index_Unauffälliger 8er,Index_Torgefährlicher 10er,Index_Einfacher Mittelfeldspieler,Index_Spielaufbauender 6er,Fit_Einfacher Stürmer,Fit_Kreativer Stürmer,Fit_Pressender Stürmer,Fit_Kompletter Knipser,Fit_Zielspieler,Index_Einfacher Stürmer,Index_Kreativer Stürmer,Index_Pressender Stürmer,Index_Kompletter Knipser,Index_Zielspieler,sc_liga,sc_pos,sc_min
B. Heynen,Genk,Genk,Jupiler Pro League (Belgien),LDMF,3926,24.64080459770115,38.794695056777826,32.635467980295566,8.275862068965518,8.275862068965518,—,65.2,59.9,57.3,61.6,59.5,62.9,72.7,65.6,Midfielder,90.0,,96.25,83.75,,,,,,97.5,,70.0,75.0,,81.25,,65.0,,70.0,95.0,,,,,b. heynen,genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6905055487053,53.2675709001233,23.45252774352651,7.570900123304562,11.54130702836005,99.53144266337854,1.253245333103753,0.6428675237424879,0.8881261474644457,0.29635248566137107,1.306346017922185,1.5058417766835444,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3926
E. Pletinckx,OH Leuven,OH Leuven,Jupiler Pro League (Belgien),RCB,3880,84.72686733556299,71.02450602416529,64.88294314381271,77.12374581939798,64.88294314381271,Emerging Talent,53.7,51.6,56.3,52.3,56.1,44.0,63.0,52.4,Central Defender,22.61904761904762,36.904761904761905,69.04761904761905,34.523809523809526,52.38095238095239,23.809523809523807,57.14285714285714,95.23809523809523,73.80952380952381,,,,,,,,,,,,,,,,e. pletinckx,oh leuven,47.9,49.9,55.6,93.5,85.3,46.16735707142658,45.303018685638094,38.593849372577225,60.939784355790565,69.04761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3880
M. Smets,Genk,Genk,Jupiler Pro League (Belgien),LCB,3856,55.51839464882943,85.18026984600516,67.55852842809365,39.7324414715719,39.7324414715719,Emerging Talent,59.8,52.5,48.4,52.9,52.0,59.3,73.4,60.0,Central Defender,97.61904761904762,98.80952380952381,3.571428571428571,91.66666666666666,79.76190476190477,96.42857142857143,52.38095238095239,29.761904761904763,95.23809523809523,,,,,,,,,,,,,,,,m. smets,genk,44.8,32.3,22.0,0.8,0.2,78.82825828503218,79.83979988401552,93.7082346300395,53.013542429566314,3.571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3856
V. van Dijk,Liverpool,Liverpool,Premier League England,LCB,3854,47.15719063545151,96.79384640165614,69.37410415671285,51.70568561872909,47.15719063545151,Emerging Talent,68.2,58.8,58.7,52.4,57.6,77.5,75.3,69.7,Central Defender,92.3076923076923,90.10989010989012,59.34065934065934,75.82417582417582,35.16483516483517,59.34065934065934,95.6043956043956,100.0,23.076923076923077,,,,,,,,,,,,,,,,v. van dijk,liverpool,93.3,33.8,10.9,30.9,5.3,84.1795932675393,72.30154209258933,61.363628016829054,75.15483120941292,59.34065934065934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Central Defender,3854
B. Reynolds,Rennes,Westerlo,Jupiler Pro League (Belgien),RB,3832,86.24862486248624,97.83686551543694,82.03677510608205,91.02310231023102,82.03677510608205,Complete Athlete,,,,,,,,,Fullback,80.95238095238095,,63.49206349206349,,,,,,,49.2063492063492,58.730158730158735,68.25396825396825,38.095238095238095,50.79365079365079,23.809523809523807,,,,,,,,,,b. reynolds,westerlo,,,,,,,,,,,72.6134585289515,59.18622848200313,46.635367762128325,96.87010954616588,94.46009389671362,0.3859575672149995,-0.21308408904780576,-0.2372270837023609,0.48364205391230514,0.4420513184610778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Fullback,3832
B. Mechele,Club Brugge,Club Brugge,Jupiler Pro League (Belgien),LCB,3786,72.12931995540691,42.376349968690164,82.7998088867654,64.0133779264214,42.376349968690164,Emerging Talent,58.6,61.2,57.8,51.4,56.5,66.6,73.7,59.5,Central Defender,96.42857142857143,97.61904761904762,36.904761904761905,95.23809523809523,58.333333333333336,77.38095238095238,78.57142857142857,97.61904761904762,58.333333333333336,,,,,,,,,,,,,,,,b. mechele,club brugge,93.5,37.8,18.7,15.6,1.4,89.92330761459984,78.35076410187489,83.27767541606234,73.00082145180556,36.904761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3786
J. Garner,Everton,Everton,Premier League England,LDMF,3776,63.86494252873563,91.13729618444366,73.46059113300494,64.13793103448276,63.86494252873563,Emerging Talent,60.1,52.9,51.2,63.0,49.8,53.6,57.6,60.5,Midfielder,52.293577981651374,,74.31192660550458,43.11926605504588,,,,,,66.05504587155964,,66.97247706422019,94.4954128440367,,91.74311926605505,,33.94495412844037,,75.22935779816514,46.788990825688074,,,,,j. garner,everton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31565967940814,65.54870530209618,78.3723797780518,38.81627620221948,51.93588162762022,81.87422934648582,0.6764794247861463,0.17545271953946814,0.20188615496229745,-0.35418378224126734,0.18977956021504977,0.23804396975584236,,,,,,,,,,,Premier League England,Midfielder,3776
A. Truffert,Bournemouth,Bournemouth,Premier League England,LB,3776,90.31903190319031,91.96672080865858,74.44601603017445,95.51155115511553,74.44601603017445,Complete Athlete,53.6,50.0,50.1,54.3,55.0,56.0,53.7,67.5,Fullback,85.71428571428571,,62.857142857142854,,,,,,,78.57142857142857,87.14285714285714,60.0,81.42857142857143,70.0,70.0,,,,,,,,,,a. truffert,bournemouth,,,,,,,,,,,75.11737089201877,77.90297339593114,70.04694835680752,93.67762128325509,97.30829420970267,0.7657989518998952,-0.11526508733685775,0.5263366271125784,0.25651367156728494,0.3107954595509625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Fullback,3776
K. Boateng,Al Fateh,Dinamo Bucureşti,Superliga Rumänien,RCB,3770,47.15719063545151,79.1713996784189,56.09173435260391,42.14046822742474,42.14046822742474,Emerging Talent,,,,,,,,,Central Defender,7.6923076923076925,43.58974358974359,15.384615384615385,92.3076923076923,38.46153846153847,26.923076923076923,98.71794871794873,94.87179487179486,14.102564102564102,,,,,,,,,,,,,,,,k. boateng,dinamo bucureşti,46.1,1.5,44.2,41.9,11.0,60.37870927491093,20.97722731162184,58.93558467014769,66.16075238291492,15.384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Central Defender,3770
C. Keita,Charleroi,Charleroi,Jupiler Pro League (Belgien),LCB,3763,71.23745819397993,91.46530040764742,77.59197324414716,72.17391304347827,71.23745819397993,Complete Athlete,46.8,46.6,52.8,47.9,51.7,47.5,48.2,46.8,Central Defender,8.333333333333332,10.714285714285714,25.0,75.0,2.380952380952381,67.85714285714286,26.190476190476193,82.14285714285714,50.0,,,,,,,,,,,,,,,,c. keita,charleroi,18.4,10.6,86.2,37.7,56.0,34.64766860752642,20.090392188390744,68.34145011418894,37.923322440874706,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3763
J. Bowen,West Ham United,West Ham United,Premier League England,RW,3760,43.014301430143014,89.07400863992024,20.367751060820364,39.07590759075908,20.367751060820364,Emerging Talent,56.0,55.8,63.3,61.8,64.0,53.4,40.2,55.5,Winger,36.507936507936506,,,,,,,,,22.22222222222222,15.873015873015872,57.14285714285714,,,,66.66666666666666,68.25396825396825,74.60317460317461,,,,,,,j. bowen,west ham united,,,,,,,,,,,,,,,,,,,,,88.18969448244414,82.07934336525308,54.172366621067034,57.865937072503414,81.53214774281807,0.09781660795036387,0.20585001130241445,-0.16530709992425252,-0.41561667243811384,0.25199432304079067,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Winger,3760
Aiham Ousou,Charleroi,Charleroi,Jupiler Pro League (Belgien),RCB,3746,62.0958751393534,89.35791719524852,63.59292881032011,64.61538461538461,62.0958751393534,Emerging Talent,51.6,57.3,56.7,56.0,58.1,52.7,71.8,50.6,Central Defender,83.33333333333334,69.04761904761905,60.71428571428571,90.47619047619048,61.904761904761905,28.57142857142857,39.285714285714285,76.19047619047619,15.476190476190476,,,,,,,,,,,,,,,,aiham ousou,charleroi,97.0,73.3,41.0,38.5,36.7,70.8209818493523,61.957168587017456,58.704973583977235,52.45736426053429,60.71428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3746
A. Miron,Botoşani,Botoşani,Superliga Rumänien,RCB,3746,5.128205128205129,18.455981799310138,49.73721930243669,16.72240802675585,5.128205128205129,—,45.9,46.2,46.8,51.3,48.2,39.1,62.0,45.0,Central Defender,24.358974358974358,67.94871794871796,52.56410256410257,60.256410256410255,24.358974358974358,17.94871794871795,44.871794871794876,16.666666666666664,32.05128205128205,,,,,,,,,,,,,,,,a. miron,botoşani,56.2,73.9,85.2,51.8,86.3,42.55367311282807,44.01936641204951,42.76333554555312,32.56599176844258,52.56410256410257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Central Defender,3746
N. Milenković,Nottingham Forest,Nottingham Forest,Premier League England,RCB,3736,39.35340022296544,76.04898202519846,47.49163879598662,44.214046822742475,39.35340022296544,Emerging Talent,58.5,44.1,49.9,50.4,52.1,48.0,58.8,57.9,Central Defender,19.78021978021978,41.75824175824176,26.373626373626376,81.31868131868131,19.78021978021978,91.20879120879121,45.05494505494506,27.472527472527474,64.83516483516483,,,,,,,,,,,,,,,,n. milenković,nottingham forest,41.1,43.0,99.8,48.6,48.2,42.20142766427614,36.085680199942416,81.18306763638006,40.190775449325784,26.373626373626376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Central Defender,3736
N. Stoinov,Dinamo Bucureşti,Dinamo Bucureşti,Superliga Rumänien,LCB,3720,,,,,,,54.8,55.1,53.9,49.6,54.2,57.8,75.8,55.4,Central Defender,61.53846153846154,89.74358974358975,71.7948717948718,93.58974358974359,34.61538461538461,79.48717948717949,67.94871794871796,51.28205128205128,69.23076923076923,,,,,,,,,,,,,,,,n. stoinov,dinamo bucureşti,88.1,83.4,67.0,43.3,20.7,70.97694802096727,73.27323232594293,85.02035506379605,59.93566219694327,71.7948717948718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Central Defender,3720
D. Haspolat,Westerlo,Westerlo,Jupiler Pro League (Belgien),RDMF,3716,64.87068965517243,80.7520058750529,71.08990147783251,53.577586206896555,53.577586206896555,Emerging Talent,51.7,51.0,54.7,64.4,48.2,46.8,54.8,50.8,Midfielder,52.5,,80.0,52.5,,,,,,70.0,,38.75,17.5,,52.5,,33.75,,51.24999999999999,72.5,,,,,d. haspolat,westerlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2675709001233,59.60542540073983,96.7940813810111,67.47225647348952,86.36251541307028,90.03699136868065,0.10615350424479261,-0.30399012128250386,-0.14614878575537035,-0.5460326710347032,0.5428622494851216,0.1619943539267363,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3716
H. Vanaken,Club Brugge,Club Brugge,Jupiler Pro League (Belgien),AMF,3714,38.79310344827586,35.22059245496869,29.61822660098522,17.586206896551726,17.586206896551726,—,73.3,53.0,60.6,72.3,58.6,64.2,71.0,74.7,Midfielder,88.75,,77.5,76.25,,,,,,100.0,,97.5,12.5,,58.75,,83.75,,90.0,53.75,,,,,h. vanaken,club brugge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71763255240444,88.75462392108508,21.726263871763255,16.20221948212084,9.39580764488286,87.69420468557337,0.3466102763658532,1.20643286103123,0.7074942522743207,0.7720577672892003,0.21985343970074936,1.1628903485599653,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3714
F. Hammar,Mechelen,Mechelen,Jupiler Pro League (Belgien),RCMF,3713,25.93390804597701,69.11606995545289,52.92487684729064,20.0,20.0,—,59.4,47.4,48.3,47.3,50.4,41.8,49.2,58.6,Midfielder,5.0,,47.5,33.75,,,,,,32.5,,25.0,77.5,,98.75,,32.5,,60.0,100.0,,,,,f. hammar,mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.10850801479654,1.528976572133169,8.927250308261407,8.384710234278668,40.98643649815043,14.821208384710236,1.4399883893961016,-0.7953191609614899,-0.7777703492278711,-0.6486783212266685,1.8807474501284365,-0.2934541967054459,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3713
R. Sierra,Argeș,Argeș,Superliga Rumänien,DMF,3704,38.07471264367816,46.734467694382474,46.70566502463054,32.58620689655172,32.58620689655172,—,51.5,47.9,50.5,42.5,49.8,40.8,53.0,50.1,Midfielder,5.555555555555555,,54.44444444444444,14.444444444444443,,,,,,31.11111111111111,,10.0,85.55555555555556,,51.11111111111111,,40.0,,11.11111111111111,57.77777777777777,,,,,r. sierra,argeș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13316892725031,16.25154130702836,51.54130702836005,44.636251541307026,95.58569667077683,44.43896424167694,0.22240655304043477,-0.952431373434421,-0.9196722670068564,-0.5817359715189239,0.2822250684361757,-0.3375887911536126,,,,,,,,,,,Superliga Rumänien,Midfielder,3704
J. Tarkowski,Everton,Everton,Premier League England,RCB,3684,26.53288740245262,17.01639167701591,9.03010033444816,11.37123745819398,9.03010033444816,—,58.6,52.1,53.6,58.6,56.3,44.5,64.0,56.3,Central Defender,49.45054945054945,43.956043956043956,76.92307692307693,29.67032967032967,65.93406593406593,93.4065934065934,87.91208791208791,68.13186813186813,15.384615384615385,,,,,,,,,,,,,,,,j. tarkowski,everton,66.8,35.3,35.3,97.3,42.2,55.3249948581728,46.51421741156564,45.62892836037032,78.91163530884363,76.92307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Central Defender,3684
L. Cabrera,Espanyol,Espanyol,La Liga Spanien,LCB,3681,,,,,,,49.0,53.4,57.9,52.9,58.2,44.5,64.2,47.7,Central Defender,47.0,48.0,96.0,12.0,28.999999999999996,34.0,88.0,96.0,32.0,,,,,,,,,,,,,,,,l. cabrera,espanyol,40.1,28.9,8.3,83.8,61.4,51.70504861972189,53.65571194635786,22.07282107840741,71.74634430451268,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Liga Spanien,Central Defender,3681
M. Tudose,Argeș,Argeș,Superliga Rumänien,RCB,3679,37.792642140468224,73.7084525124596,55.85284280936454,63.812709030100336,37.792642140468224,—,47.6,46.8,49.7,52.2,51.3,46.1,57.3,46.9,Central Defender,57.692307692307686,33.33333333333333,51.28205128205128,19.230769230769234,46.15384615384615,89.74358974358975,73.07692307692307,40.38461538461539,76.92307692307693,,,,,,,,,,,,,,,,m. tudose,argeș,51.8,71.1,76.9,93.3,70.2,44.52736990729309,52.93576574160825,50.34186776481338,60.619960613381174,51.28205128205128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Central Defender,3679
E. Gnahoré,FCS Bucureşti,Dinamo Bucureşti,Superliga Rumänien,DMF,3679,35.3448275862069,56.70903334218059,53.84852216748768,39.35344827586208,35.3448275862069,—,,,,,,,,,Midfielder,76.66666666666667,,15.555555555555555,45.55555555555556,,,,,,62.22222222222222,,33.33333333333333,94.44444444444444,,46.666666666666664,,51.11111111111111,,32.22222222222222,61.111111111111114,,,,,e. gnahoré,dinamo bucureşti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.82983970406904,53.53884093711467,90.28360049321826,55.339087546239206,69.02589395807645,72.40443896424168,0.18444423950935526,-0.23415565903948532,0.19704709872443216,-0.25409770492264705,0.33606522437217234,0.015599257766333224,,,,,,,,,,,Superliga Rumänien,Midfielder,3679
M. Senesi,Tottenham Hotspur,Bournemouth,Premier League England,LCB,3678,49.05239687848384,73.82162065820238,49.976110845676054,50.16722408026756,49.05239687848384,—,,,,,,,,,Central Defender,98.9010989010989,96.7032967032967,100.0,8.791208791208792,100.0,79.12087912087912,54.94505494505495,34.065934065934066,78.02197802197803,,,,,,,,,,,,,,,,m. senesi,bournemouth,24.9,58.3,0.3,14.2,6.2,65.90620388863778,94.48889656532721,41.961385655080576,68.53445427168349,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Central Defender,3678
E. Anderson,Manchester City,Nottingham Forest,Premier League England,LDMF,3662,57.758620689655174,72.45205895855901,64.34729064039409,52.93103448275862,52.93103448275862,—,,,,,,,,,Midfielder,83.4862385321101,,91.74311926605505,94.4954128440367,,,,,,98.1651376146789,,79.81651376146789,75.22935779816514,,53.21100917431193,,44.95412844036697,,77.06422018348624,75.22935779816514,,,,,e. anderson,nottingham forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.63501849568434,86.06658446362515,57.28729963008631,19.45745992601726,16.325524044389642,98.19975339087547,0.5717080344219438,0.8821739095470227,1.199666786447457,0.1743357158008012,0.8103596811601281,1.0691522171711667,,,,,,,,,,,Premier League England,Midfielder,3662
M. Schuster,Hansa Rostock,Hansa Rostock,3. Liga,DMF,3655,63.93678160919541,79.6078411153275,86.97660098522168,61.12068965517242,61.12068965517242,Wrecking Ball,55.0,47.0,48.4,61.5,48.9,50.9,51.5,55.7,Midfielder,52.63157894736842,,85.52631578947368,1.3157894736842104,,,,,,89.47368421052632,,9.210526315789473,100.0,,39.473684210526315,,10.526315789473683,,1.3157894736842104,40.78947368421053,,,,,m. schuster,hansa rostock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4845869297164,2.0221948212083847,7.102342786683108,3.9704069050554867,19.70406905055487,49.519112207151665,0.537255436425805,-0.9506410728542811,-0.841963057646385,-1.2238558986934645,-0.2338542096614118,0.7548961064911771,,,,,,,,,,,3. Liga,Midfielder,3655
M. Ens,MSV Duisburg,Verl,3. Liga,RCB,3650,55.85284280936455,45.42823470655009,58.815097945532735,43.61204013377926,43.61204013377926,—,,,,,,,,,Central Defender,83.9622641509434,94.33962264150944,5.660377358490567,98.11320754716981,89.62264150943396,50.943396226415096,82.0754716981132,93.39622641509435,25.471698113207548,,,,,,,,,,,,,,,,m. ens,verl,90.6,12.6,13.0,10.4,0.5,89.85683613472156,61.19601385998252,71.06783891775356,72.28042951577363,5.660377358490567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. Liga,Central Defender,3650
M. Valjent,Mallorca,Mallorca,La Liga Spanien,RCB,3649,75.58528428093646,95.4851738148726,78.83420926899188,84.74916387959867,75.58528428093646,Complete Athlete,48.4,48.5,50.7,49.2,49.1,52.9,64.9,49.1,Central Defender,50.0,52.0,50.0,71.0,41.0,44.0,42.0,27.0,52.0,,,,,,,,,,,,,,,,m. valjent,mallorca,88.5,98.5,99.6,79.0,91.4,48.94728999986342,50.97185880254928,59.65315860754198,40.05442825577303,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Liga Spanien,Central Defender,3649
Igor Thiago,Brentford,Brentford,Premier League England,CF,3643,74.9063670411985,85.51833954034961,79.98929909042269,83.67041198501873,74.9063670411985,Complete Athlete,62.1,53.9,75.3,56.8,67.8,47.8,36.9,62.1,Striker,,,,63.04347826086957,,,,,,,,84.78260869565217,,,78.26086956521739,,,,34.78260869565217,,67.3913043478261,71.73913043478261,54.347826086956516,43.47826086956522,igor thiago,brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.78869876641464,57.739753282928774,83.36649423000398,80.85953044170314,98.5674492638281,-0.6934729540496468,-0.3944057684507196,-0.14178366957527333,-0.2833648316171713,0.2501131733459421,Premier League England,Striker,3643
D. Szoboszlai,Liverpool,Liverpool,Premier League England,AMF,3637,86.13505747126437,92.2900690802924,84.05172413793103,87.02586206896552,84.05172413793103,Complete Athlete,67.1,49.4,52.2,61.8,45.2,56.8,59.5,67.1,Midfielder,92.66055045871559,,68.80733944954129,92.66055045871559,,,,,,86.23853211009175,,58.71559633027523,48.62385321100918,,42.201834862385326,,71.55963302752293,,84.40366972477065,51.37614678899083,,,,,d. szoboszlai,liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.440197287299625,98.10110974106043,84.93218249075215,59.55610357583231,25.203452527743526,86.95437731196054,0.0031459693068572464,0.9245726742099957,1.101478260496711,0.628180920127989,0.3077401152198366,0.49939305654941835,,,,,,,,,,,Premier League England,Midfielder,3637
R. Opruț,Dinamo Bucureşti,Dinamo Bucureşti,Superliga Rumänien,LB,3637,59.07590759075908,80.56353005787234,77.08628005657708,71.48514851485149,59.07590759075908,Emerging Talent,49.6,49.8,51.2,59.5,53.6,49.4,49.3,65.0,Fullback,18.75,,17.1875,,,,,,,28.125,67.1875,73.4375,93.75,26.5625,67.1875,,,,,,,,,,r. opruț,dinamo bucureşti,,,,,,,,,,,47.104851330203445,67.19874804381847,76.6510172143975,60.34428794992175,50.203442879499214,0.32681333086784303,0.03515569948559105,1.4406762101485429,-0.03672962852686469,-0.3562510885708329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superliga Rumänien,Fullback,3637
A. Sissako,Sint-Truiden,Sint-Truiden,Jupiler Pro League (Belgien),LDMF,3635,46.62356321839081,70.08589754165979,63.14655172413793,29.48275862068966,29.48275862068966,—,56.0,46.0,50.4,47.1,53.1,53.1,44.7,56.4,Midfielder,53.75,,22.5,77.5,,,,,,38.75,,8.75,83.75,,72.5,,40.0,,61.25000000000001,81.25,,,,,a. sissako,sint-truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.20345252774352,41.15906288532676,81.08508014796547,56.49815043156596,81.7016029593095,50.65351418002466,0.3652824765069409,-0.3446685059598041,0.06259205802693357,-0.2810417145239875,0.8244222032021975,-0.3327832774755807,,,,,,,,,,,Jupiler Pro League (Belgien),Midfielder,3635
E. Bayram,İstanbul Başakşehir,Westerlo,Jupiler Pro League (Belgien),RCB,3633,87.8483835005574,95.60323859049495,78.02197802197801,89.89966555183946,78.02197802197801,Complete Athlete,,,,,,,,,Central Defender,85.71428571428571,95.23809523809523,77.38095238095238,55.952380952380956,88.09523809523809,55.952380952380956,75.0,94.04761904761905,52.38095238095239,,,,,,,,,,,,,,,,e. bayram,westerlo,92.7,63.6,9.3,53.3,10.9,81.5699566824373,80.62975760081825,55.29852678133518,79.23708316492156,77.38095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiler Pro League (Belgien),Central Defender,3633
M. Rogers,Chelsea,Aston Villa,Premier League England,AMF,3625,69.82758620689656,80.43662080443032,39.34729064039408,68.83620689655173,39.34729064039408,Emerging Talent,,,,,,,,,Midfielder,82.56880733944955,,24.770642201834864,82.56880733944955,,,,,,20.18348623853211,,83.4862385321101,22.018348623853214,,5.5045871559633035,,91.74311926605505,,80.73394495412845,14.678899082568808,,,,,m. rogers,aston villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.655980271270037,96.42416769420468,35.88162762022195,91.31935881627619,17.53390875462392,15.462392108508013,-1.1296632446996135,1.0370707516044522,0.7291314774178308,1.5040051841943503,-0.9364267651311252,-0.4273116556564628,,,,,,,,,,,Premier League England,Midfielder,3625
M. Kayode,Brentford,Brentford,Premier League England,RB,3623,77.66776677667767,92.16466289486092,75.05893446487507,85.34653465346534,75.05893446487507,Complete Athlete,53.4,45.6,49.2,57.0,49.7,55.3,53.3,57.9,Fullback,44.285714285714285,,11.428571428571429,,,,,,,14.285714285714285,22.857142857142858,58.57142857142858,18.571428571428573,84.28571428571429,35.714285714285715,,,,,,,,,,m. kayode,brentford,,,,,,,,,,,87.23004694835682,21.69014084507042,73.48982785602503,25.758998435054774,78.62284820031299,-0.8278685860447016,-1.0392046847415437,-0.8831969168881111,-0.598623789723094,0.01898573539573778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premier League England,Fullback,3623
Luis Milla,Como,Getafe,La Liga Spanien,DMF,3617,48.99425287356322,78.70459208194946,66.19458128078819,60.258620689655174,48.99425287356322,Emerging Talent,,,,,,,,,Midfielder,45.63106796116505,,93.20388349514563,22.330097087378643,,,,,,70.87378640776699,,65.0485436893204,86.40776699029125,,41.74757281553398,,32.038834951456316,,89.32038834951457,28.155339805825243,,,,,luis milla,getafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.237977805178794,72.35511713933415,69.88902589395808,42.49075215782984,49.14919852034526,88.16276202219481,-0.0613034639232366,0.08857518793014219,-0.2659555134253214,-0.6769412878948157,-0.5821291103792926,0.400910406710391,,,,,,,,,,,La Liga Spanien,Midfielder,3617
J. Ríos Alonso,Rot-Weiss Essen,Rot-Weiss Essen,3. Liga,LCB,3607,44.59308807134894,73.78396545528888,54.13282369804109,58.060200668896314,44.59308807134894,—,57.1,51.1,58.8,55.7,58.0,50.3,64.5,55.8,Central Defender,63.20754716981132,47.16981132075472,9.433962264150944,83.01886792452831,54.71698113207547,74.52830188679245,53.77358490566038,71.69811320754717,95.28301886792453,,,,,,,,,,,,,,,,j. ríos alonso,rot-weiss essen,73.5,54.3,90.7,48.2,24.2,62.465676945046155,54.45104789371595,82.78985859915896,54.74722213337481,9.433962264150944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3. Liga,Central Defender,3607
