name,Team,team,liga,PrimaryPos,ifi_min,Layer_speed,Layer_burst,Layer_otip,Layer_bip,physical score,sc_profile,OBV_Total Impact,OBV_Impact per 90,OBV_Shooting,OBV_Final Ball,OBV_Pen Area,OBV_Carries,OBV_Buildup Pass,OBV_Defense,position,pct_ballprogression,pct_build_up,pct_vertikalitaet,pct_ballsicherheit,pct_proaktives_verteidigen,pct_reaktives_verteidigen,pct_kopfball_defensiv,pct_kopfball_offensiv,pct_clean_defending,pct_buildup,pct_flankenspiel,pct_kreativitaet,pct_zweikampfdef,pct_offensives1v1,pct_ballgewinnen,pct_dribbling,pct_torgefahr,pct_pressing,pct_vorlagengeber,pct_reaktivesverteidigen,pct_poaching,pct_abschlussprofil,pct_zielspieler,pct_balltreiben,name_norm,team_norm,Fit_Kompletter IV,Fit_Spielaufbauender IV,Fit_Absichernder IV,Fit_Physischer IV,Fit_Einfacher/Direkter IV,Index_Kompletter IV,Index_Spielaufbauender IV,Index_Absichernder IV,Index_Physischer IV,Index_Einfacher/Direkter IV,Fit_Einfacher AV,Fit_Spielaufbauender AV,Fit_Defensiver AV,Fit_Kompletter AV,Fit_Dribbelstarker AV,Index_Einfacher AV,Index_Spielaufbauender AV,Index_Defensiver AV,Index_Kompletter AV,Index_Dribbelstarker AV,Fit_Dribbelspezialist,Fit_Einfacher Flügelspieler,Fit_Kompletter Flügelspieler,Fit_Kreativer Flügelspieler,Fit_Pressing-Flügelspieler,Index_Dribbelspezialist,Index_Einfacher Flügelspieler,Index_Kompletter Flügelspieler,Index_Kreativer Flügelspieler,Index_Pressing-Flügelspieler,Fit_Ballgewinnender 6er,Fit_Kreativer 8er/10er,Fit_Unauffälliger 8er,Fit_Torgefährlicher 10er,Fit_Einfacher Mittelfeldspieler,Fit_Spielaufbauender 6er,Index_Ballgewinnender 6er,Index_Kreativer 8er/10er,Index_Unauffälliger 8er,Index_Torgefährlicher 10er,Index_Einfacher Mittelfeldspieler,Index_Spielaufbauender 6er,Fit_Einfacher Stürmer,Fit_Kreativer Stürmer,Fit_Pressender Stürmer,Fit_Kompletter Knipser,Fit_Zielspieler,Index_Einfacher Stürmer,Index_Kreativer Stürmer,Index_Pressender Stürmer,Index_Kompletter Knipser,Index_Zielspieler,sc_liga,sc_pos,sc_min
M. Lutonský,Artis Brno,Prostějov,FNL Tschechien (2. Liga),LB,967,37.073707370737075,9.535035136166679,30.410183875530407,36.3036303630363,9.535035136166679,—,,,,,,,,,Fullback,59.375,,96.875,,,,,,,76.5625,18.75,75.0,50.0,39.0625,71.875,,,,,,,,,,m. lutonský,prostějov,,,,,,,,,,,22.1283255086072,96.6510172143975,32.550860719874805,54.11580594679186,17.74647887323944,-1.201154353017482,1.2940711300147862,0.36908732574699327,0.20652757817714373,-0.3066263573034777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FNL Tschechien (2. Liga),Fullback,967
A. Huttunen,Mariehamn,Mariehamn,Veikkausliiga Finnland,AMF,967,54.45402298850575,32.59665771181395,51.169950738916256,53.922413793103445,32.59665771181395,—,38.9,37.1,48.6,45.5,44.5,42.9,45.6,38.2,Midfielder,57.99999999999999,,42.0,26.0,,,,,,28.000000000000004,,78.0,42.0,,6.0,,72.0,,16.0,14.000000000000002,,,,,a. huttunen,mariehamn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28113440197287,61.84956843403205,69.74106041923551,93.711467324291,66.55980271270036,32.79901356350185,-1.0191662344284471,-0.23975168619363582,-0.36797191386454303,0.02838944611883018,-0.7569195784386464,-0.5208090920380283,,,,,,,,,,,Veikkausliiga Finnland,Midfielder,967
E. Yildirim,FSV Frankfurt U17,FSV Frankfurt U17,U17 Bundesliga,CF,967,22.97128589263421,35.26069650328984,16.10486891385768,13.932584269662922,13.932584269662922,—,37.5,43.7,57.6,49.7,58.2,46.5,43.9,38.2,Striker,,,,24.875621890547265,,,,,,,,19.900497512437813,,,21.393034825870647,,,,7.213930348258707,,30.845771144278604,39.30348258706468,91.54228855721394,31.343283582089555,e. yildirim,fsv frankfurt u17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00994826900119,28.690807799442897,47.95065658575408,70.07560684440908,93.23517707918822,-0.16013021539067465,-0.5916328116846998,-0.6748752131344664,-0.2630123705402059,0.5978948439313923,U17 Bundesliga,Striker,967
L. Björklund,Brommapojkarna,Brommapojkarna,Allsvenskan Schweden,CF,967,43.320848938826465,22.503245445185552,34.028892455858745,30.561797752808978,22.503245445185552,—,58.7,38.2,42.3,55.6,44.5,47.7,44.3,56.6,Striker,,,,95.65217391304348,,,,,,,,43.47826086956522,,,78.26086956521739,,,,26.08695652173913,,4.3478260869565215,47.82608695652174,73.91304347826086,52.17391304347826,l. björklund,brommapojkarna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.94866693195384,27.298050139275766,68.48388380421807,20.01591723040191,41.5041782729805,-0.384756259568629,-0.20585426916178706,0.5149506076232164,-0.38246584924168187,0.407256626791187,Allsvenskan Schweden,Striker,967
C. Wood,Nottingham Forest,Nottingham Forest,Premier League England,CF,966,39.7003745318352,35.07591084460914,60.19261637239164,37.52808988764045,35.07591084460914,—,52.6,50.1,53.1,46.8,48.9,49.7,50.1,52.3,Striker,,,,56.52173913043478,,,,,,,,23.91304347826087,,,6.521739130434782,,,,15.217391304347828,,36.95652173913043,43.47826086956522,13.043478260869565,2.1739130434782608,c. wood,nottingham forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2109033028253,9.789096697174692,27.894946279347394,37.00756068444091,50.89534421010744,-1.24059680446368,-0.9093822457706708,-1.0491990144394563,-0.6975701648268209,-0.8046999664462939,Premier League England,Striker,966
Olívio Tomé,Benfica II,Benfica II,Liga Portugal 2,LWF,966,76.67766776677668,89.93460556917839,84.3941537010844,93.13531353135313,76.67766776677668,Complete Athlete,34.0,53.6,46.1,51.8,57.5,45.1,45.4,35.2,Winger,42.857142857142854,,,,,,,,,12.698412698412698,95.23809523809523,12.698412698412698,,,,73.01587301587301,79.36507936507937,23.809523809523807,,,,,,,olívio tomé,benfica ii,,,,,,,,,,,,,,,,,,,,,80.84815321477427,58.230734154126765,44.55084359325126,28.271773825809394,38.759689922480625,0.3433209155822581,0.06751664271917802,-0.14941163139459324,-0.7316926913153464,-0.5457704925182937,,,,,,,,,,,,,,,,,,,,,,,Liga Portugal 2,Winger,966
B. Sanković,Nyíregyháza Spartacus,Nyíregyháza Spartacus,NB I Ungarn,LCMF,966,16.163793103448274,25.226202688129618,60.652709359605915,20.431034482758616,16.163793103448274,—,51.7,46.2,42.9,41.2,45.1,40.6,56.5,51.4,Midfielder,4.838709677419355,,41.935483870967744,35.483870967741936,,,,,,58.06451612903226,,9.67741935483871,93.54838709677419,,90.32258064516128,,1.6129032258064515,,3.225806451612903,88.70967741935483,,,,,b. sanković,nyíregyháza spartacus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.35141800246609,2.6387176325524044,18.002466091245374,11.097410604192355,53.88409371146733,26.584463625154132,1.1635711233851807,-0.9484116907306981,-0.6030746702988923,-0.9615381540105088,1.272508471912156,-0.2107588914224237,,,,,,,,,,,NB I Ungarn,Midfielder,966
Berna,Petro de Luanda,Felgueiras 1932,Liga Portugal 2,LWF,966,,,,,,,,,,,,,,,Winger,50.79365079365079,,,,,,,,,95.23809523809523,74.60317460317461,65.07936507936508,,,,6.349206349206349,4.761904761904762,82.53968253968253,,,,,,,berna,felgueiras 1932,,,,,,,,,,,,,,,,,,,,,7.660738714090288,25.581395348837212,12.539899680802554,57.3187414500684,74.32740538075694,-1.3825215868164735,-1.8015383002745942,-0.49417047119535484,0.4928026984898938,1.2766108912026282,,,,,,,,,,,,,,,,,,,,,,,Liga Portugal 2,Winger,966
A. Boțogan,Petrolul 52,Petrolul 52,Superliga Rumänien,LCMF,966,75.35919540229885,38.48516082867657,71.67487684729063,80.86206896551724,38.48516082867657,Emerging Talent,48.1,50.2,51.0,45.7,51.7,51.0,46.0,48.1,Midfielder,32.22222222222222,,2.2222222222222223,66.66666666666666,,,,,,4.444444444444445,,36.666666666666664,13.88888888888889,,97.77777777777777,,25.555555555555554,,35.55555555555556,73.33333333333333,,,,,a. boțogan,petrolul 52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.73612823674476,12.700369913686806,27.373612823674478,27.47225647348952,50.20961775585696,16.57213316892725,0.6038666464030212,-0.47808493300521554,-0.16708209504159396,-0.6894818122795183,0.581022515969487,-0.5923014698950612,,,,,,,,,,,Superliga Rumänien,Midfielder,966
K. Szcześniak,Radomiak Radom,Górnik Zabrze,Ekstraklasa Polen,RB,966,3.19031903190319,26.19203698234816,26.63837812352664,33.06930693069306,3.19031903190319,—,,,,,,,,,Fullback,25.37313432835821,,77.61194029850746,,,,,,,82.08955223880598,1.4925373134328357,17.91044776119403,92.53731343283582,2.9850746268656714,32.83582089552239,,,,,,,,,,k. szcześniak,górnik zabrze,,,,,,,,,,,23.22378716744914,67.82472613458529,60.50078247261346,14.522691705790297,7.887323943661972,-2.0875353979743814,0.42704060739145155,1.2094908840783223,-0.5304949276837038,-1.2307201763351214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ekstraklasa Polen,Fullback,966
H. Gunnarsson,Valur,Valur,Besta deild karla Island,RB,966,31.243124312431245,50.021328663478606,13.814238566713815,17.02970297029703,13.814238566713815,—,49.5,53.2,49.2,52.9,47.1,45.1,48.7,51.9,Fullback,18.75,,59.375,,,,,,,53.125,50.0,21.875,3.125,34.375,71.875,,,,,,,,,,h. gunnarsson,valur,,,,,,,,,,,79.87480438184663,21.94053208137715,32.9264475743349,10.735524256651017,16.77621283255086,0.03837253179022877,-0.4403844997273117,-2.70126708820536,-0.6672983280152981,-0.7749640200961112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Besta deild karla Island,Fullback,966
D. Laroussi,Darmstadt 98 U19,Darmstadt 98 U19,U19 Bundesliga,CF,966,85.39325842696628,68.06184961442256,57.249866238630275,77.37827715355805,57.249866238630275,Speed Demon,46.6,49.3,57.3,49.5,58.4,48.0,37.4,47.1,Striker,,,,58.37563451776649,,,,,,,,70.55837563451777,,,59.89847715736041,,,,19.796954314720814,,48.223350253807105,64.46700507614213,7.614213197969544,46.192893401015226,d. laroussi,darmstadt 98 u19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9908475925189,85.71428571428571,91.40469558296857,83.08794269797055,45.52327894946279,0.19940646472468485,0.134358866047962,0.18474915050224044,0.21633874559917154,-0.7039079050425188,U19 Bundesliga,Striker,966
J. Montorro,Alemannia Aachen U19,Alemannia Aachen U19,U19 Bundesliga,LAMF,966,30.58305830583058,33.34760097170126,34.41772748703442,19.207920792079204,19.207920792079204,—,59.8,57.2,48.9,59.1,51.2,45.1,52.1,59.7,Winger,73.33333333333333,,,,,,,,,91.11111111111111,71.11111111111111,95.55555555555556,,,,70.37037037037037,48.888888888888886,88.14814814814815,,,,,,,j. montorro,alemannia aachen u19,,,,,,,,,,,,,,,,,,,,,33.515731874145004,18.28545371637027,81.34974920200638,87.18650250797994,54.90196078431373,0.39808205772524613,0.1461648282418669,0.6234599609860708,1.0410644229167159,1.4426760600283108,,,,,,,,,,,,,,,,,,,,,,,U19 Bundesliga,Winger,966
F. Uzelac,Rot Weiss Ahlen,Sportfreunde Lotte,Regionalliga West,RCB,966,9.92196209587514,25.785969856775363,10.27233635929288,7.157190635451505,7.157190635451505,—,,,,,,,,,Central Defender,85.88235294117646,82.35294117647058,62.35294117647059,29.411764705882355,22.35294117647059,5.88235294117647,81.17647058823529,97.6470588235294,97.6470588235294,,,,,,,,,,,,,,,,f. uzelac,sportfreunde lotte,39.1,43.4,3.1,18.1,20.1,67.9501848400762,82.6512735439925,35.047286835305684,60.53578008691302,62.35294117647059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Regionalliga West,Central Defender,966
D. Naamo,Dundee United,Dundee United,Scottish Premiership,RWB,966,60.5060506050605,58.50035749257814,76.47336162187648,70.36303630363035,58.50035749257814,Emerging Talent,38.9,49.4,54.6,49.0,57.6,41.6,38.9,50.3,Fullback,10.909090909090908,,16.363636363636363,,,,,,,5.454545454545454,7.2727272727272725,74.54545454545455,81.81818181818183,32.72727272727273,36.36363636363637,,,,,,,,,,d. naamo,dundee united,,,,,,,,,,,66.2284820031299,24.475743348982785,92.36306729264476,11.3302034428795,34.55399061032864,-1.4686300584393819,-0.8688984723941616,0.06985833724173444,-0.9286603005245707,-0.7498842054964612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scottish Premiership,Fullback,966
M. Aanesland,Raufoss,Raufoss,OBOS-ligaen Norwegen (2. Liga),RWF,966,59.73597359735973,60.23005832264485,44.08297972654408,48.18481848184818,44.08297972654408,—,34.3,49.2,54.0,55.2,56.4,39.7,44.5,34.9,Winger,24.0,,,,,,,,,24.0,24.0,48.0,,,,12.0,24.0,8.0,,,,,,,m. aanesland,raufoss,,,,,,,,,,,,,,,,,,,,,53.67077063383493,84.40492476060192,29.046967624259008,46.28362973096215,32.10214318285453,-0.6755691625363428,-0.008129742369734447,-0.48552328655620747,-0.4580272048333159,-1.6526526842078006,,,,,,,,,,,,,,,,,,,,,,,OBOS-ligaen Norwegen (2. Liga),Winger,966
Afonso Assis,Moreirense,Moreirense,Liga Portugal,LCMF,966,11.206896551724137,22.150109155948343,40.57881773399015,8.836206896551724,8.836206896551724,—,45.0,46.0,50.2,40.3,48.0,46.6,52.1,44.4,Midfielder,5.263157894736842,,29.47368421052631,26.31578947368421,,,,,,70.52631578947368,,27.368421052631582,6.315789473684211,,41.05263157894737,,63.1578947368421,,5.263157894736842,34.73684210526316,,,,,afonso assis,moreirense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.73489519112207,13.168927250308263,27.47225647348952,56.07891491985203,78.1750924784217,16.84340320591862,-0.47916591209136894,-0.9541579236608391,-1.2905522484350431,-0.4230964096213805,-0.2828315535654053,-0.6854810737991078,,,,,,,,,,,Liga Portugal,Midfielder,966
T. Thiele,,Energie Cottbus,3. Liga,CF,966,53.932584269662925,17.218770847003874,44.83681112894596,48.08988764044943,17.218770847003874,—,,,,,,,,,Striker,,,,21.73913043478261,,,,,,,,91.30434782608695,,,15.942028985507244,,,,44.927536231884055,,49.275362318840585,1.4492753623188406,23.18840579710145,37.68115942028986,t. thiele,energie cottbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.32670115399921,60.366096299243935,51.49224035017907,36.41066454436928,54.91444488658973,-0.4196513594823876,-0.16666070176400405,-0.6259610047451583,-0.7514925338023265,-0.7001409095921947,3. Liga,Striker,966
